rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
7;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 24.wav;1
8;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 9.wav;2
7;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 21.wav;3
4;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 4.wav;4
8;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 17.wav;5
3;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 5.wav;6
7;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 11.wav;7
5;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 1.wav;8
4;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 7.wav;9
2;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 8.wav;10
3;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 23.wav;11
4;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 20.wav;12
5;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 10.wav;13
4;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 19.wav;14
4;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 3.wav;15
5;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 6.wav;16
4;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 18.wav;17
3;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 14.wav;18
2;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 15.wav;19
4;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 16.wav;20
3;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 22.wav;21
3;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 13.wav;22
2;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 12.wav;23
4;3;Female;21;Yes;03;happy;4;10;ExperimentStims/Stim 2.wav;24
