rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
3;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 12.wav;1
2;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 24.wav;2
4;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 19.wav;3
3;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 10.wav;4
5;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 4.wav;5
6;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 17.wav;6
5;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 15.wav;7
4;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 5.wav;8
4;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 1.wav;9
3;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 20.wav;10
2;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 21.wav;11
2;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 8.wav;12
5;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 6.wav;13
5;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 2.wav;14
5;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 3.wav;15
4;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 14.wav;16
5;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 18.wav;17
6;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 9.wav;18
5;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 16.wav;19
5;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 11.wav;20
4;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 7.wav;21
6;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 23.wav;22
4;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 13.wav;23
4;;Male;29;Yes;3;happy;6;;ExperimentStims\Stim 22.wav;24
