rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
6;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 14.wav;1
5;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 20.wav;2
3;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 13.wav;3
8;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 22.wav;4
5;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 18.wav;5
9;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 15.wav;6
5;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 17.wav;7
8;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 3.wav;8
7;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 9.wav;9
7;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 6.wav;10
4;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 21.wav;11
6;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 16.wav;12
8;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 7.wav;13
5;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 19.wav;14
5;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 23.wav;15
4;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 24.wav;16
8;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 2.wav;17
4;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 10.wav;18
4;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 4.wav;19
6;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 5.wav;20
7;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 1.wav;21
3;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 8.wav;22
4;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 12.wav;23
5;5;Male;22;No;3;happy;6;7;ExperimentStims\Stim 11.wav;24
