rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
9;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 22.wav;1
10;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 1.wav;2
10;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 8.wav;3
10;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 19.wav;4
9;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 14.wav;5
10;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 11.wav;6
10;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 7.wav;7
8;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 17.wav;8
4;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 23.wav;9
6;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 5.wav;10
7;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 13.wav;11
8;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 18.wav;12
10;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 20.wav;13
8;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 3.wav;14
8;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 4.wav;15
6;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 16.wav;16
8;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 9.wav;17
5;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 2.wav;18
8;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 10.wav;19
3;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 24.wav;20
8;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 21.wav;21
4;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 12.wav;22
10;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 15.wav;23
8;10;Male;22;No;4;sad;22;10;ExperimentStims\Stim 6.wav;24
