rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
4;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 13.wav;1
5;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 8.wav;2
6;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 12.wav;3
5;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 4.wav;4
7;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 19.wav;5
8;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 22.wav;6
8;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 18.wav;7
8;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 24.wav;8
4;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 3.wav;9
5;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 7.wav;10
6;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 10.wav;11
8;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 15.wav;12
8;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 20.wav;13
3;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 2.wav;14
7;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 17.wav;15
6;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 1.wav;16
7;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 21.wav;17
5;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 6.wav;18
5;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 23.wav;19
5;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 9.wav;20
7;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 14.wav;21
9;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 16.wav;22
3;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 5.wav;23
8;3;Female;21;No;01;sad;20;10;ExperimentStims/Stim 11.wav;24
