rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
3;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 5.wav;1
5;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 3.wav;2
5;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 23.wav;3
7;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 7.wav;4
7;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 6.wav;5
3;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 12.wav;6
4;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 2.wav;7
2;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 22.wav;8
1;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 18.wav;9
2;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 10.wav;10
4;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 13.wav;11
6;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 14.wav;12
7;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 4.wav;13
8;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 15.wav;14
1;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 8.wav;15
2;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 16.wav;16
3;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 1.wav;17
4;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 20.wav;18
5;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 21.wav;19
2;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 17.wav;20
3;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 9.wav;21
1;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 24.wav;22
2;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 19.wav;23
2;7;Male;21;Yes;14;sad;23;8;ExperimentStims\Stim 11.wav;24
