rating;sadcolor;Gender;Age;musician;ID;condition;day born;happycolor;stim;no
4;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 22.wav;1
3;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 10.wav;2
4;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 18.wav;3
4;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 1.wav;4
4;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 24.wav;5
5;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 11.wav;6
5;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 5.wav;7
2;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 8.wav;8
2;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 12.wav;9
4;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 4.wav;10
4;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 19.wav;11
6;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 9.wav;12
3;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 14.wav;13
3;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 6.wav;14
4;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 21.wav;15
3;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 15.wav;16
3;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 7.wav;17
4;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 3.wav;18
5;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 17.wav;19
6;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 23.wav;20
6;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 20.wav;21
5;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 16.wav;22
5;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 13.wav;23
4;3;Female;22;No;04;sad;17;9;ExperimentStims/Stim 2.wav;24
